deal,opp_id,ok,win,mom,eng,retired
"Ashley Global Retail, LLC",006P700000XThud,True,27.0,32.0,10.10,0
Shenzhen WIK Domestic Appliances CO Ltd.,006P700000Uxmk7,True,25.0,24.0,10.10,0
AusNet,006P700000Nh2xS,True,42.0,52.0,10.10,0
Arabian Industries LLC,006P700000QvP7Z,True,47.0,39.0,10.10,0
Bandhan Bank,006P700000H55TV,True,59.0,78.0,10.10,0
"Pep Promotions Execution Partners, LLC",006P700000QqTmw,True,27.0,26.0,10.10,0
Austrian Post,006P700000J71MD,True,58.0,74.0,10.10,0
Pinsent Masons,006P700000ZUCcH,True,38.0,57.0,10.10,0
Starbucks Coffee Company,006P700000RNs6k,True,20.0,18.0,10.10,0
CLARINS,006P700000W1Y21,True,28.0,50.0,10.10,0
Cornerstone OnDemand,006P700000LmMrl,True,17.0,8.0,10.10,0
DP World,006P700000ZIaFN,True,27.0,40.0,10.10,0
AAA Life Insurance Company,006P700000aaPmM,True,26.0,40.0,10.10,0
PBF Energy,006P700000Z0n1N,True,5.0,8.0,10.10,0
Stemline Therapeutics Inc,006P700000NiRAX,True,20.0,15.0,10.10,0
A2DOMINION HOUSING GROUP LIMITED,006P700000VAIGP,True,30.0,36.0,10.10,0
PROVINCIAL TREASURY - GAUTENG,006P700000W6ga1,True,17.0,6.0,10.10,0
MTR Corporation Limited,006P700000KTTO5,True,37.0,57.0,10.10,0
Cebu Pacific Air,0066700000wdNe1,True,58.0,68.0,10.10,0
SCG International Corporation,006P700000TTJeV,True,18.0,10.0,10.10,0
SMRT Corporation Ltd,006P70000084vuT,True,13.0,8.0,10.10,0
Sysmex,006P700000UhuvK,True,26.0,25.0,10.10,0
Hong Kong Aircraft Engineering Company Limited,006P700000NwbBd,True,36.0,30.0,10.10,0
Publicis Groupe,006P700000Xl06R,True,87.0,91.0,10.10,0
SaskTel,006P700000GmoPW,True,38.1,49.6,10.10,0
Sabic Innovative Plastics US LLC,006P700000XjHg3,True,60.0,72.0,10.10,0
Checkers - Rally's,006P700000Tbxqb,True,20.0,26.0,10.10,0
S&C Electric Company,0066700000ztGNF,True,60.0,74.0,10.10,0
Anora Group Plc,006P700000MKdlU,True,27.0,28.0,10.10,0
Cell C,006P700000ThKsQ,True,28.0,18.0,10.10,0
Robert Bosch GmbH,006P700000PlMpu,True,56.0,65.0,10.10,0
Sitecore,006P700000WWRku,True,55.0,65.0,10.10,0
Keurig Dr Pepper,006P700000Oi7xi,True,26.0,22.0,10.10,0
E&Y_UK,006P700000X0TlP,,58.0,66.0,10.9,0
ASYAD,006P700000Z98IL,True,20.0,27.0,10.10,0
Barnes & Noble Booksellers Inc,006P700000WPGK6,True,30.0,24.0,10.10,0
ARUP Laboratories,006P700000LmUm5,True,56.0,53.0,10.10,0
Omnia Holdings Limited,006P700000aX2mH,True,18.0,33.0,10.10,0
SAMI,006P700000RD9Ir,True,57.0,67.0,10.10,0
005P7000004ou6MIAQ,006P700000SKAcb,True,17.0,10.0,10.10,0
A.R.M. Holding,006P700000FF6Np,True,42.0,14.0,10.10,0
Techtronic Industries Company Limited,006P700000GWfrf,True,57.0,72.0,10.10,0
Micron,006P700000a5NvJ,True,27.0,47.0,10.10,0
Norwegian Cruise Line Holdings Ltd,006P700000Uaopq,True,38.0,55.0,10.10,0
VODAFONE IDEA LIMITED,006P700000ZxAjy,True,54.0,55.0,10.10,0
John Deere,006P700000KHd9V,True,37.0,25.0,10.10,0
BP,006P700000PBvSn,True,20.0,8.0,10.10,0
Erste Group Bank AG,006P700000UOMxN,True,45.0,51.0,10.10,0
ORASCOM CONSTRUCTION CO,006P700000Y1Ont,True,47.0,57.0,10.10,0
OXXO,006P700000UuasL,True,26.0,28.0,10.10,0
Vancity Group,006P700000Wn0sT,True,30.0,39.0,10.10,0
BitSight,006P700000Rwszl,True,41.5,42.6,10.10,0
BakerRipley,006P700000MhR3V,True,16.0,20.0,10.10,0
Louis Dreyfus Company,006P700000PeaG5,True,28.0,8.0,10.10,0
PDI Technologies,006P700000TVIUf,True,18.0,14.0,10.10,0
"Russell Investments Group, LLC",006P700000U6WAQ,True,57.0,61.0,10.10,0
Waseef Corporate,006P700000WicVN,True,24.0,15.0,10.10,0
Atlas Air Inc,006P700000WnpTZ,True,24.0,20.0,10.10,0
Nutreco N.V.,006P700000YK7xp,True,38.0,44.0,10.10,0
Wacker chemie,006P700000NJsx7,True,48.0,60.0,10.10,0
NVISION Eye Centers,006P700000Xmqu9,True,45.0,55.0,10.10,0
Omnia Holdings Limited,006P700000UGA6z,True,83.0,58.0,10.10,0
Avaya Corp,006P700000Z2yom,True,32.0,37.0,10.10,0
Boyd Gaming,006P700000WZXoH,True,20.0,12.0,10.10,0
Cinemark Theatres,006P700000UNIw7,True,23.0,20.0,10.10,0
CIVEO PTY LTD,006P700000YO8aM,True,46.0,51.0,10.10,0
